code,full_name,name
AP,一号航空公司,一号航空
UJ,AlMasria 航空公司,AlMasria 航空
W3,尼日利亚航空,尼日利亚航空
BN,巴林航空,巴林航空
NT,加那利航空公司,加那利航空
W8,喷气货运航空公司,喷气货运航空
X3,途易航空,途易航空
XF,符拉迪沃斯托克航空,符拉迪沃斯托克航空
DG,菲律宾东南亚洲航空,菲律宾东南亚洲航空
BT,波罗的海航空公司,波罗的海航空
FB,法恩航空公司,法恩航空
AE1,华信航空,华信航空
KS,半岛航空公司,半岛航空
S4,SATA国际航空,SATA国际航空
FA,南非货运航空,南非货运航空
9H,长安航空公司,长安航空
GT,桂林航空公司,桂航
